n_plus_2 student step=4960/20000 loss=0.55646 lr=1.671e-04
n_plus_2 student step=4980/20000 loss=0.56054 lr=1.669e-04
n_plus_2 student step=5000/20000 loss=0.55938 lr=1.667e-04
n_plus_2 student step=5020/20000 loss=0.56488 lr=1.664e-04
n_plus_2 student step=5040/20000 loss=0.55875 lr=1.662e-04
n_plus_2 student step=5060/20000 loss=0.55930 lr=1.660e-04
n_plus_2 student step=5080/20000 loss=0.55329 lr=1.658e-04
n_plus_2 student step=5100/20000 loss=0.55401 lr=1.656e-04
n_plus_2 student step=5120/20000 loss=0.55401 lr=1.653e-04
n_plus_2 student step=5140/20000 loss=0.55621 lr=1.651e-04
n_plus_2 student step=5160/20000 loss=0.55506 lr=1.649e-04
n_plus_2 student step=5180/20000 loss=0.55846 lr=1.647e-04
n_plus_2 student step=5200/20000 loss=0.56239 lr=1.644e-04
n_plus_2 student step=5220/20000 loss=0.55207 lr=1.642e-04
n_plus_2 student step=5240/20000 loss=0.55914 lr=1.640e-04
n_plus_2 student step=5260/20000 loss=0.56153 lr=1.638e-04
n_plus_2 student step=5280/20000 loss=0.56257 lr=1.636e-04
n_plus_2 student step=5300/20000 loss=0.55061 lr=1.633e-04
n_plus_2 student step=5320/20000 loss=0.56353 lr=1.631e-04
n_plus_2 student step=5340/20000 loss=0.55881 lr=1.629e-04
n_plus_2 student step=5360/20000 loss=0.55281 lr=1.627e-04
n_plus_2 student step=5380/20000 loss=0.54650 lr=1.624e-04
n_plus_2 student step=5400/20000 loss=0.55621 lr=1.622e-04
n_plus_2 student step=5420/20000 loss=0.55580 lr=1.620e-04
n_plus_2 student step=5440/20000 loss=0.55325 lr=1.618e-04
n_plus_2 student step=5460/20000 loss=0.55440 lr=1.616e-04
n_plus_2 student step=5480/20000 loss=0.56042 lr=1.613e-04
n_plus_2 student step=5500/20000 loss=0.57264 lr=1.611e-04
n_plus_2 student step=5520/20000 loss=0.55765 lr=1.609e-04
n_plus_2 student step=5540/20000 loss=0.55904 lr=1.607e-04
n_plus_2 student step=5560/20000 loss=0.55674 lr=1.604e-04
n_plus_2 student step=5580/20000 loss=0.55285 lr=1.602e-04
n_plus_2 student step=5600/20000 loss=0.54309 lr=1.600e-04
n_plus_2 student step=5620/20000 loss=0.54252 lr=1.598e-04
n_plus_2 student step=5640/20000 loss=0.54774 lr=1.596e-04
n_plus_2 student step=5660/20000 loss=0.55740 lr=1.593e-04
n_plus_2 student step=5680/20000 loss=0.54669 lr=1.591e-04
n_plus_2 student step=5700/20000 loss=0.57083 lr=1.589e-04
n_plus_2 student step=5720/20000 loss=0.55400 lr=1.587e-04
n_plus_2 student step=5740/20000 loss=0.55844 lr=1.584e-04
n_plus_2 student step=5760/20000 loss=0.54858 lr=1.582e-04
n_plus_2 student step=5780/20000 loss=0.55156 lr=1.580e-04
n_plus_2 student step=5800/20000 loss=0.55051 lr=1.578e-04
n_plus_2 student step=5820/20000 loss=0.55163 lr=1.576e-04
n_plus_2 student step=5840/20000 loss=0.54799 lr=1.573e-04
n_plus_2 student step=5860/20000 loss=0.55532 lr=1.571e-04
n_plus_2 student step=5880/20000 loss=0.55663 lr=1.569e-04
n_plus_2 student step=5900/20000 loss=0.54704 lr=1.567e-04
n_plus_2 student step=5920/20000 loss=0.56134 lr=1.564e-04
