edge_id,head_id,relation_type,tail_id,confidence,evidence_ids,properties_json,graph_scope,active
edge_59d0d6b1be938ebd0397,kg_datasetrecord_dr_0ccb06a8ec8417eba99a,has_repeat_unit,kg_repeatunit_ru_5a597ca1f4b2cb6354b7,1.0,[],{},strict,true
edge_59dc7d491f1eb32aafc5,kg_repeatunit_ru_fd3f089c9cce0a6752f9,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59ddfc393f4c2aa2202d,kg_repeatunit_ru_884087d25ee837c3645b,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59e120cd30039f91c179,kg_datasetrecord_dr_454d46dc337edf1f27c9,has_repeat_unit,kg_repeatunit_ru_04d86a0c7a33daf1ad77,1.0,[],{},strict,true
edge_59e678cc9759342199cf,kg_datasetrecord_dr_ed5b2da65b43f5cc3d91,has_repeat_unit,kg_repeatunit_ru_eb4695c3485e06310709,1.0,[],{},strict,true
edge_59ea60ed35e1ca36ed1d,kg_repeatunit_ru_8c9bc0ba8a7835409b21,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59ebbc1219bce51ef1ca,kg_repeatunit_ru_7526a679353ee648b71c,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59ecd960420a10b45939,kg_repeatunit_ru_caab99a33758a0a533d9,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59f293e01174c152db40,kg_datasetrecord_dr_67c88289f9da4251ca51,has_repeat_unit,kg_repeatunit_ru_11154c3f97f850939cb9,1.0,[],{},strict,true
edge_59f36aee934ed22b1fc2,kg_datasetrecord_dr_c111050de8d34429d103,has_repeat_unit,kg_repeatunit_ru_d4961c61edd680dfa574,1.0,[],{},strict,true
edge_59f3bdae0e9e4abefaef,kg_datasetrecord_dr_d294251b9d81ff1be8df,has_repeat_unit,kg_repeatunit_ru_d282f7e90adb2a153444,1.0,[],{},strict,true
edge_59f3e970a04b6f247a13,kg_repeatunit_ru_f2080719760234d7ce6a,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59ff30fb4ea5a479ce7b,kg_datasetrecord_dr_16fe8454d03575ee8f78,has_repeat_unit,kg_repeatunit_ru_c9e0c44e016c915030b8,1.0,[],{},strict,true
edge_5a01b45fdf72868fec89,kg_datasetrecord_dr_d56de7f39f9607ef35c9,has_repeat_unit,kg_repeatunit_ru_5a266b071a32c0a496af,1.0,[],{},strict,true
edge_5a02bcdecabd5fac2147,kg_datasetrecord_dr_36cab7d0fb1d7226e7b3,has_repeat_unit,kg_repeatunit_ru_3782da9adbf124537491,1.0,[],{},strict,true
edge_5a0650a1bba2c0e9c96e,kg_datasetrecord_dr_1d9ed60106ca481d6836,has_repeat_unit,kg_repeatunit_ru_bbb1a074a3c173a8999d,1.0,[],{},strict,true
edge_5a0c870e63ad43fe93a5,kg_repeatunit_ru_5bde0e1193c1c50f3ec2,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a0d507691baa0aae540,kg_datasetrecord_dr_ac8f4a17fc631b53b4fe,has_repeat_unit,kg_repeatunit_ru_f6ebefd6bac93d24877d,1.0,[],{},strict,true
edge_5a0e0b9effd1ffcd55ec,kg_datasetrecord_dr_02c4f31fc0c44fece54b,has_repeat_unit,kg_repeatunit_ru_b58105b7cefb0150a52a,1.0,[],{},strict,true
edge_5a0fd25902e7adbafd6a,kg_datasetrecord_dr_ae47ba3f14d067ed86f7,has_repeat_unit,kg_repeatunit_ru_df67811e8bbaa6edb649,1.0,[],{},strict,true
edge_5a10aad2f0a08ef6b5be,kg_repeatunit_ru_b5ae355fd3c2e76a273b,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a11d162c5fe26d4cd99,kg_datasetrecord_dr_036e66d11dcf49cb77e7,has_repeat_unit,kg_repeatunit_ru_f36d57fccdfc96615be8,1.0,[],{},strict,true
edge_5a1f73b9429244383a3e,kg_datasetrecord_dr_5e787a261bd0c1d2bcc4,has_repeat_unit,kg_repeatunit_ru_435d332209b3ebbc4989,1.0,[],{},strict,true
edge_5a1fd80017f38baaadb0,kg_datasetrecord_dr_fd151e9a3ce0e86c8ecc,has_repeat_unit,kg_repeatunit_ru_ed119bd77e875c872e3c,1.0,[],{},strict,true
