+ torchrun --standalone --nproc_per_node=3 scripts/pretrain_mts_glt_distill.py --config configs/mts/glt_distill_repair_c2.json --stage teacher
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] 
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] *****************************************
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
n_plus_2 teacher step=3860/5000 loss=0.05144 lr=5.067e-05
n_plus_2 teacher step=3880/5000 loss=0.05707 lr=4.978e-05
n_plus_2 teacher step=3900/5000 loss=0.04551 lr=4.889e-05
n_plus_2 teacher step=3920/5000 loss=0.05099 lr=4.800e-05
n_plus_2 teacher step=3940/5000 loss=0.05149 lr=4.711e-05
n_plus_2 teacher step=3960/5000 loss=0.05021 lr=4.622e-05
n_plus_2 teacher step=3980/5000 loss=0.05482 lr=4.533e-05
n_plus_2 teacher step=4000/5000 loss=0.04814 lr=4.445e-05
n_plus_2 teacher step=4020/5000 loss=0.04965 lr=4.356e-05
n_plus_2 teacher step=4040/5000 loss=0.04538 lr=4.267e-05
n_plus_2 teacher step=4060/5000 loss=0.05172 lr=4.178e-05
n_plus_2 teacher step=4080/5000 loss=0.04346 lr=4.089e-05
n_plus_2 teacher step=4100/5000 loss=0.04534 lr=4.000e-05
n_plus_2 teacher step=4120/5000 loss=0.04909 lr=3.911e-05
n_plus_2 teacher step=4140/5000 loss=0.04627 lr=3.822e-05
n_plus_2 teacher step=4160/5000 loss=0.04444 lr=3.733e-05
n_plus_2 teacher step=4180/5000 loss=0.05165 lr=3.645e-05
n_plus_2 teacher step=4200/5000 loss=0.04329 lr=3.556e-05
n_plus_2 teacher step=4220/5000 loss=0.04904 lr=3.467e-05
n_plus_2 teacher step=4240/5000 loss=0.04996 lr=3.378e-05
n_plus_2 teacher step=4260/5000 loss=0.05435 lr=3.289e-05
n_plus_2 teacher step=4280/5000 loss=0.04899 lr=3.200e-05
n_plus_2 teacher step=4300/5000 loss=0.04807 lr=3.111e-05
n_plus_2 teacher step=4320/5000 loss=0.04627 lr=3.022e-05
n_plus_2 teacher step=4340/5000 loss=0.05040 lr=2.933e-05
n_plus_2 teacher step=4360/5000 loss=0.04613 lr=2.845e-05
n_plus_2 teacher step=4380/5000 loss=0.04758 lr=2.756e-05
n_plus_2 teacher step=4400/5000 loss=0.04408 lr=2.667e-05
n_plus_2 teacher step=4420/5000 loss=0.05083 lr=2.578e-05
n_plus_2 teacher step=4440/5000 loss=0.04365 lr=2.489e-05
n_plus_2 teacher step=4460/5000 loss=0.04399 lr=2.400e-05
n_plus_2 teacher step=4480/5000 loss=0.04892 lr=2.311e-05
n_plus_2 teacher step=4500/5000 loss=0.04470 lr=2.222e-05
n_plus_2 teacher step=4520/5000 loss=0.04087 lr=2.133e-05
n_plus_2 teacher step=4540/5000 loss=0.04723 lr=2.045e-05
n_plus_2 teacher step=4560/5000 loss=0.04879 lr=1.956e-05
n_plus_2 teacher step=4580/5000 loss=0.04855 lr=1.867e-05
n_plus_2 teacher step=4600/5000 loss=0.05376 lr=1.778e-05
n_plus_2 teacher step=4620/5000 loss=0.04501 lr=1.689e-05
n_plus_2 teacher step=4640/5000 loss=0.04734 lr=1.600e-05
n_plus_2 teacher step=4660/5000 loss=0.04762 lr=1.511e-05
n_plus_2 teacher step=4680/5000 loss=0.04620 lr=1.422e-05
n_plus_2 teacher step=4700/5000 loss=0.05204 lr=1.333e-05
n_plus_2 teacher step=4720/5000 loss=0.04264 lr=1.245e-05
n_plus_2 teacher step=4740/5000 loss=0.04839 lr=1.156e-05
n_plus_2 teacher step=4760/5000 loss=0.05008 lr=1.067e-05
n_plus_2 teacher step=4780/5000 loss=0.04574 lr=9.779e-06
n_plus_2 teacher step=4800/5000 loss=0.04992 lr=8.890e-06
n_plus_2 teacher step=4820/5000 loss=0.04508 lr=8.001e-06
n_plus_2 teacher step=4840/5000 loss=0.04274 lr=7.112e-06
n_plus_2 teacher step=4860/5000 loss=0.04421 lr=6.223e-06
n_plus_2 teacher step=4880/5000 loss=0.04631 lr=5.334e-06
n_plus_2 teacher step=4900/5000 loss=0.04826 lr=4.445e-06
n_plus_2 teacher step=4920/5000 loss=0.05176 lr=3.557e-06
n_plus_2 teacher step=4940/5000 loss=0.04931 lr=2.668e-06
n_plus_2 teacher step=4960/5000 loss=0.04688 lr=1.779e-06
n_plus_2 teacher step=4980/5000 loss=0.04560 lr=8.899e-07
n_plus_2 teacher step=5000/5000 loss=0.04666 lr=1.000e-09
EXIT:0
